"GLEN ARAY, LADYFIELD",,,,,,,,,,,,
Grid ref,NN0900015500,Long,-5.088,Lat,56.293,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,11.27,,
February,,,,,,,,,,6.05,,
March,,,,,,,,,,1.56,,
April,,,,,,,,,,6.71,,
May,,,,,,,,,,6.04,,
June,,,,,,,,,,2.15,,
July,,,,,,,,,,8.64,,
August,,,,,,,,,,5.22,,
September,,,,,,,,,,4.46,,
October,,,,,,,,,,16.08,,
November,,,,,,,,,,8.44,,
December,,,,,,,,,,11.05,,
Total,,,,,,,,,,87.67,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,87.67,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
