LOCHINVER (CULAG HOTEL),,,,,,,,,,,,
Grid ref,NC0927522232,Long,-5.242,Lat,58.148,,,,,,,
Station no,5805/7/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,,,
February,,,,,,,,,,,,
March,,,,,,,,,,,,
April,,,,,,,,,,,,
May,,,,,,,,,,,,
June,,,,,,,,,,,,
July,,,,,,,,,,2.04,,
August,,,,,,,,,,4.34,,
September,,,,,,,,,,3.00,,
October,,,,,,,,,,1.48,,
November,,,,,,,,,,3.27,,
December,,,,,,,,,,6.09,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.22,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
