STROUD (HIGH SCHOOL),,,,,,,,,,,,
Grid ref,SO838051,Long,-2.236,Lat,51.744,,,,,,,
Station no,2156/5,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,,,,,,,,,,,,
February,,,,,,,,,,,,
March,,,,,,,,,,,,
April,,,,,,,,,,,,
May,,,,,,,,,,,,
June,,,,,,,,,,,,
July,,,,,,,,,,,,
August,,,,,,,,,,,,
September,,,,,,,,,,,,
October,,,,,,,,,,,,
November,,1.59,,,,,,,,,,
December,,3.22,,,,,,,,,,
Total,,,,,,,,,,,,
Calc annual,0.00,4.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
