GLEN CANNICH (COZAC OLD LODGE),,,,,,,,,,,,
Grid ref,NH192313,Long,-5.006,Lat,57.336,,,,,,,
Station no,5713/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.92,,,,,,,,,,,
February,5.15,,,,,,,,,,,
March,4.36,,,,,,,,,,,
April,7.36,,,,,,,,,,,
May,1.33,,,,,,,,,,,
June,,,,,,,,,,,,
July,,,,,,,,,,,,
August,,,,,,,,,,,,
September,,,,,,,,,,,,
October,,,,,,,,,,,,
November,,,,,,,,,,,,
December,,,,,,,,,,,,
Total,,,,,,,,,,,,
Calc annual,28.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
