BRECHIN TRINITY,,,,,,,,,,,,
Grid ref,NO6055762048,Long,-2.647,Lat,56.748,,,,,,,
Station no,5608,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,,,,,,,,,,,,
February,,,,,,,,,,,,
March,,,,,,,,,,,,
April,,,,,,,,,,,,
May,,,,,,,,,,,,
June,,,,,,,,,,,,
July,,,,,,,,,,0.76,,
August,,,,,,,,,,2.70,,
September,,,,,,,,,,1.24,,
October,,,,,,,,,,1.52,,
November,,,,,,,,,,4.39,,
December,,,,,,,,,,5.57,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.18,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
