RIVINGTON MOOR SCOTCHMANS POST,,,,,,,,,,,,
Grid ref,SD660146,Long,-2.516,Lat,53.627,,,,,,,
Station no,2997/5,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,4.45,,,,,,,
February,,,,,3.36,,,,,,,
March,,,,,2.63,,,,,,,
April,,,,,2.80,,,,,,,
May,,,,,2.82,,,,,,,
June,,,,,,,,,,,,
July,,,,,,,,,,,,
August,,,,,,,,,,,,
September,,,,,,,,,,,,
October,,,,,,,,,,,,
November,,,,,,,,,,,,
December,,,,,,,,,,,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,16.06,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
