"HORBURY, DURKAR HOUSE",,,,,,,,,,,,
Grid ref,SE314169,Long,-1.526,Lat,53.648,,,,,,,
Station no,3228,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,,,,,3.72,
February,,,,,,,,,,,0.64,
March,,,,,,,,,,,2.51,
April,,,,,,,,,,,2.07,
May,,,,,,,,,,,1.34,
June,,,,,,,,,,,1.84,
July,,,,,,,,,,,5.21,
August,,,,,,,,,,,3.44,
September,,,,,,,,,,,3.97,
October,,,,,,,,,,,2.58,
November,,,,,,,,,,,2.45,
December,,,,,,,,,,,2.04,
Total,,,,,,,,,,,31.81,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.81,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,
